company,competitors,degree,department,experience,job_category,job_content,jobname,others,skills,tools,update_time,url,page
藍科數位科技股份有限公司,5,專科、大學、碩士,不拘,2年以上,電腦系統分析師,1. 資料分析需求處理 - 資料分析需求處理、分析報表開發 2. SQL相關應用程式設計開發 3. 協助資料倉儲、資料市集(DW/DM)相關系統設計、開發及維運。 4. 系統文件產出。 1.周休二日 2.彈性上班時間 3.生日假 4.保障年薪13個月 5.每年筆電補助 6.每年國內/外旅遊補助 7.員工內部/外部教育訓練 8.員工團體醫療保險 9.員工健康檢查(每年一次) 10.每年公司團體服／紀念品製作 11.專業完整的PG、SA、ＳＤ、ＱＡ訓練 12.福委會相關活動(戶外活動、社團、尾牙/春酒、三節禮金/禮品...) 13.同仁聚餐 ....,資料分析師,1. 對SQL使用有基礎概念或具結構化查詢語言介面使用經驗(如，Oracle (PL/SQL)， MSSQL (TSQL)，Teradata(TSA) ..等)。 2. 具基礎資訊系統開發維護或資料分析設計能力 3. 對系統分析、Data model設計及相關BI Application開發、ETL程式開發有興趣者 4. 邏輯思慮清晰，主動積極，細心。,不拘,不拘,2017-01-03,http://www.104.com.tw/job/?jobno=4bpvl&jobsource=n104bank1&hotjob_chr=,1
貝里斯商三昇資訊有限公司台灣分公司,5,專科、大學、碩士,不拘,3年以上,市場調查／市場分析,1.進行調查數據彙整及清除不可靠之數據，分析整理數據並做報告 2.分析企業統計數據，預測與追蹤市場和銷售的趨勢 ◆ 獎金/禮品類 1.年終獎金 2.三節獎金/禮品 ◆ 保險類 1.員工團保 ◆ 休閒類 1.國內旅遊 2.國外旅遊 3.部門聚餐 ◆ 制度類 1.完整的教育訓練 2.順暢的升遷管道 ◆ 請 / 休假制度 1.週休二日 2.特休/年假 3.陪產假 4.家庭照顧假 5.女性同仁生理假 6.女性同仁育嬰假 ◆ 其他 1.健康檢查 ◆ 補助類 1.旅遊補助,專業分析師,未填寫,不拘,不拘,2016-11-17,http://www.104.com.tw/job/?jobno=51o8b&jobsource=n104bank1&hotjob_chr=,1
好玩家股份有限公司,6-10,大學以上,不拘,不拘,網路管理工程師,1.處理大量遊戲資料.分析玩家行為.建構模型 2.巨量資料的即時收集.運算處理和分析搜尋.提供營運和行銷團隊做為決策使用之資訊 3.資料視覺化呈現及分析 ◆ 獎金/禮品類 1.三節獎金 2.生日禮金 3.結婚禮金 4.生育津貼 5.喪葬補助 ◆ 保險類 1.勞保 2.健保 3.依法提撥退休金 4.團保 ◆ 福利類 1.福委會舉辦之各項活動 2.每月慶生會 3.員工健檢 4.員工旅遊 ◆ 制度類 1.順暢的升遷管道 2.員工提案獎金 3.員工教育訓練制度 ◆ 請 / 休假制度 1.週休二日 2.特休/年假 3.陪產假,資料分析師,1.具備有R.Python.SAS.Hadoop.Spark等技術能力尤佳 2.一年以上大資料處理與分析系統的應用開發經驗 3.對於資料分析具熱情及想法.喜歡接觸不同領域 4.具良好的簡報與報告製作能力,不拘,Excel 、 PowerPoint 、 Word,2016-12-29,http://www.104.com.tw/job/?jobno=4rxxr&jobsource=n104bank1&hotjob_chr=,1
碩網資訊股份有限公司,5,專科以上,商業及管理學科類、數學及電算機科學學科類、工程學科類,1年以上,電腦系統分析師,1. 面對客戶專案需求規格確認與系統分析工作 2. 包含系統功能邏輯分析、系統畫面與操作流程釐清、輸出入資料欄位內容與規則確認、資料來源分析、資料表設計、與其他系統資料串接交換等規格確認等，並依此完成系統分析文件 3. 協助釐清系統需求與功能相關之問題，以利開發人員專注系統開發工作。 4. 能夠撰寫測試案例，測試開發完成功能，確保開發團隊交付的系統符合需求規格與品質 5. 具備良好溝通能力與團隊合作精神 {基本福利} -勞保、健保、退休金足額提撥 -周休二日 -加班費與補休制度 {獎勵與津貼} -盈餘分紅(分紅比例隨年資、績效增加) -績效獎金 -每年依能力表現調薪 -年終獎金 -三節禮金 -人才推薦獎金 -結婚津貼、生育津貼、喪葬補助 {其他} -人性化的彈性管理 -員工團體保險 -每年健康檢查 -每季舉辦餐敘活動 -飲料、點心、下午茶 -自購電腦補助 -技術與經驗分享座談 -便利的交通(公司位於捷運站正上方),系統分析師,未填寫,不拘,UML 、 MS SQL 、 MySQL,2017-01-04,http://www.104.com.tw/job/?jobno=5534w&jobsource=n104bank1&hotjob_chr=,1
遠見天下文化出版股份有限公司,11-30,大學、碩士,社會學相關、心理學相關、統計學相關,不拘,行銷企劃人員,1.管理事業群內各部門客群名單及分析客群來源，應用資料分析方法發掘顧客洞察、建立分類、分群與關聯等預測與區辨模型，協助行銷人員辨識客戶及發展顧客經營策略。 2.整合各項數據，協助事業群各部門追蹤與分析相顧客行為與偏好、篩選名單於各類行銷用途、進行成效的評估及優化。 3.依據事業群需求，定期提供各項BI數據分析及提出洞察，協助行銷人員與顧客經營人員以CRM分析結果為基礎進行經營策略與行銷活動之規畫與活動結果成效評估。 4.協助推動CRM系統建置，包括建構不同產品或平台的分析資料模型、不同來源資料的整合、資料品質的檢核及改善、BI報表的規畫等。 【正職同仁福利】 1.不定期安排教育訓練課程，鼓勵同事不斷學習。2.進修與本身職務相關課程者，可申請學費補助。3.公司每月贈與同事遠見雜誌、30雜誌、HBR雜誌、未來少年月刊、未來兒童月刊、未來Family月刊 6選2。4.每年同事可以領取15本叢書。5.購買公司出版品享有優惠折扣。6.公司全額負擔之團體保險，補助同仁醫療需求。7.年節獎金、婚喪喜慶津貼、急難救助。8.福委會補助健康檢查、員工旅遊、不定期舉辦點心時間、慶生等活動。,CRM資料分析師,1.具市場調研、顧客資料分析建模等相關工作經驗。 2.熟悉並能獨立運用SPSS、Modeler(Clementine)、R語言等資料分析及探勘工具進行分析。具資料庫結構概念並能運用SQL語法撈取資料者尤佳。 3.熟悉行銷研究 (Marketing Research)、數據分析 (Data Analysis)、數據挖掘 (Data Mining)。 4.對會員經營、顧客關係管理、社群行銷等領域有研究並具發展相關策略經驗者佳。 5.對數據分析具高度熱情，樂於學習與閱讀，積極熱情，有強烈責任感與抗壓性。 6.具耐心、良好邏輯思考、協調溝通能力、及簡報技巧。,不拘,不拘,2017-01-03,http://www.104.com.tw/job/?jobno=4qx7h&jobsource=n104bank1&hotjob_chr=,1
儀衡工程技術顧問股份有限公司,5,大學以上,運輸管理相關、數理統計相關、土木工程相關,不拘,顧問人員,1.高速公路車流特性分析 2.高速公路車流模擬 3.交通資料視覺化 4.電子收費系統查核驗證 保障13.5個月薪資，外加績效獎金 員工團體意外與醫療保險 年度健康檢查補助 生日禮金 三節禮金 全額補助相關專業教育訓練,交通資料分析師（泰山）,＊對實證研究或解決關於資料的困難課題有強烈熱情 ＊獨立分析數據並完成簡報 ＊擁有R、SAS/SPSS或Tableau等分析工具的專業知識，或對上述軟體有強烈學習意願者,統計軟體操作 、 調查樣本統計分析 、 文書處理軟體操作 、 流程圖軟體操作 、 電子試算表軟體操作 、 簡報軟體操作 、 交通工程研究調查與評估分析 、 交通工程規劃與設計 、 交通工程評價監督 、 交通工程養護 、 交通計畫預測,Adobe Acrobat 、 Excel 、 Internet Explorer 、 PowerPoint 、 Visio 、 Word 、 SAS 、 SPSS,2017-01-05,http://www.104.com.tw/job/?jobno=4rst5&jobsource=n104bank1&hotjob_chr=,1
儀衡工程技術顧問股份有限公司,6-10,大學以上,運輸管理相關、數理統計相關、資訊管理相關,不拘,顧問人員,1.高速公路車流特性分析 2.高速公路車流模擬 3.交通資料視覺化 4.電子收費系統查核驗證 保障13.5個月薪資，外加績效獎金 員工團體意外與醫療保險 年度健康檢查補助 生日禮金 三節禮金 全額補助相關專業教育訓練,交通資料分析師（內湖）,＊對實證研究或解決關於資料的困難課題有強烈熱情 ＊獨立分析數據並完成簡報 ＊擁有R、SAS/SPSS或Tableau等分析工具的專業知識，或對上述軟體有強烈學習意願者,統計軟體操作 、 調查樣本統計分析 、 文書處理軟體操作 、 流程圖軟體操作 、 電子試算表軟體操作 、 簡報軟體操作 、 交通工程研究調查與評估分析 、 交通工程規劃與設計 、 交通工程評價監督 、 交通工程養護 、 交通計畫預測,Adobe Acrobat 、 Excel 、 Internet Explorer 、 PowerPoint 、 Visio 、 Word,2017-01-05,http://www.104.com.tw/job/?jobno=4rykp&jobsource=n104bank1&hotjob_chr=,1
昊青股份有限公司,5,大學以上,資訊工程相關、資訊管理相關、數理統計相關,不拘,資料庫管理人員,商業智慧/巨量資量(BI/Big Data)/資料科學相關軟體售前售後技術支援 ◆ 獎金 / 禮品類 年終、端午及中秋獎金 ◆ 保險類 勞保、健保 ◆ 請 / 休假制度 週休二日 ◆ 補助類 1.結婚禮金、2.員工進修補助、3.退職金提撥,商業智慧/巨量資料分析工程師,普通小型車,資料庫軟體應用,Database Management 、 MS SQL 、 ODBC 、 Oracle,2016-12-16,http://www.104.com.tw/job/?jobno=3yrz9&jobsource=n104bank1&hotjob_chr=,1
PMC_財團法人精密機械研究發展中心,5,大學、碩士,電機電子維護相關、資訊工程相關,1年以上,電機技師／工程師,1.Hadoop-based應用系統開發及專案支援。 2.資料庫應用及大量資訊程式化演算處理開發。 3.開發並擴充巨量資料分析平台系統管理功能。 4.工業服務專案及計畫案之執行與計畫書撰寫。 5.自動化系統各類規範與相關文件之撰寫。 ◎保險類： 為了保障同仁生命的安全，PMC會為您投保多項保險，提供您更多重的保障。 1.勞工保險。 2.全民健保。 3.勞工退休金(公司依法提撥 6%)。 4.團體保險（保費中心全額負擔，除眷屬外亦含父母）。 ◆保險內容：壽險、意外險、醫療險、癌症險 ◆員工配偶及子女之保險內容，比照員工投保。 ◆父母之保險內容，有意外險、意外住院醫療險。 ◎健康檢查： PMC非常重視同仁的身心健康，每年都會安排員工參加健康檢查(完全免費)。 ◎各類獎金制度： PMC提供各項優厚的獎金制度，讓同仁可享有豐富的額外金錢獎勵! 1.生日禮金。 2.旅遊補助金。 3.年度模範同仁獎勵。 4.喜慶祝賀金。 5.傷病慰問金。 6.端午禮金。 7.中秋禮金。 8.年終獎金。 9.營運獎金。 10.研發獎金(研究論文、專利權、技術移轉、創意提案與計畫執行績效獎金)。 ◎休閒及娛樂類： PMC注重同仁休閒活動，相信懂得休閒的人才會成功。 1.迎新餐會、年終尾牙。 2.員工休息圖書室。 3.中秋節烤肉活動。 4.提供香醇咖啡。 5.每年提供旅遊補助金。 6.員工勵進會組織，籌劃各項員工福利活動。 7.員工部門聚餐補助。 8.社團活動(益智遊戲社(Wii)、桌球社、數位攝影社、籃球社、壘球社、羽球社、單車社、電影社、英語社等)。 9.健身房。 ◎休假制度： 1.週休二日。 2.新進同仁依比例亦享有特休權利。 ◎教育訓練類： PMC非常重視同仁的專業與技能的提升，特別舉辦內訓及外訓。 1.提供完善的教育訓練計劃：主管訓練，一般同仁訓練。 2.兩年一度全中心大型外部教育訓練活動(共識營，探索營)。 3.補助同仁參加外訓費用 。 4.補助中心同仁進修學位費用。 ◎其他： 1.每年舉辦升等作業，提供同仁開放的晉升管道。 2.工作時間採彈性出退勤制(方便同仁接送子女)。 3.加班可依勞基法申請加班費或補休。,資料分析工程師(嘉義),TOEIC,不拘,Linux 、 Java 、 Python 、 MS SQL 、 SAS,2016-12-27,http://www.104.com.tw/job/?jobno=4ja4t&jobsource=n104bank1&hotjob_chr=,1
英屬開曼群島商博衛生物醫學股份有限公司台灣分公司,5,大學、碩士,資訊工程相關、其他商業及管理相關、資訊管理相關,2年以上,電腦系統分析師,"1.能規劃或配合專案時程,完成系統開發。 2.系統分析,設計,需求訪談。 ◆ 分紅 / 配股 1.員工紅利 ◆ 獎金 / 禮品類 1.年終獎金 ◆ 保險類 1.勞保 2.健保 ◆ 制度類 1.績效獎金 2.完整的教育訓練 3.順暢的升遷管道 ◆ 請 / 休假制度 1.週休二日 2.特休/年假 3.家庭照顧假 4.女性同仁生理假 ◆ 補助類 1.結婚禮金 ◆ 其他 1.男性員工陪產假、餘依勞基法規定、附有健身房",系統分析師,可獨立需求訪談，系統分析規劃設計兩年以上經驗為佳。,不拘,不拘,2016-12-30,http://www.104.com.tw/job/?jobno=4acno&jobsource=n104bank1&hotjob_chr=,1
